Date,Range_W_F1,Range_W_F2,Range_C_F1,Range_C_F2,Range_O_F1,Range_O_F2
13-08-1877,0.016293639,NaN,0.020906685,NaN,0.013303966,0.012903405
14-08-1877,0.034041451,NaN,0.023202897,NaN,0.021787354,0.012848142
15-08-1877,0.024897552,NaN,0.022832042,0.009132484,0.017094433,0.021053409
16-08-1877,0.01670185,NaN,0.013857035,0.011507607,0.016807118,0.008298803
17-08-1877,0.021277398,NaN,0.016374635,0.014018921,0.021882711,0.004319661
18-08-1877,0.011847204,NaN,0.026223195,0.026098753,0.008849615,0.013129291
20-08-1877,0.022765211,NaN,0.017052788,0.004830927,0.00447428,0.021978907
21-08-1877,0.033406029,NaN,0.021454935,0.016529302,0.021506205,0.017094433
22-08-1877,0.029339484,NaN,0.011560822,0.009195467,0.020965128,0.01242252
23-08-1877,0.031026274,NaN,0.014184635,0.018779895,0.008547061,0.016807118
24-08-1877,0.023037668,NaN,0.011976191,0.007117468,0.029980832,0.012739026
25-08-1877,0.016260521,0.006141268,0.011834458,0.014051753,0.021414095,NaN
27-08-1877,0.015190165,0.008196767,0.007067167,0.011641575,0.004264399,0.00415801
28-08-1877,0.028631813,0.025053502,0.009478744,0.009434032,0.008583744,0.016807118
29-08-1877,0.013563067,0.019088597,0.014354313,0.014285957,NaN,0.00851069
30-08-1877,0.022335954,0.020619287,0.007083855,0.007067167,0.012848142,0.020965128
31-08-1877,0.013151429,0.014538158,0.007083855,0.016336419,0.021322769,0.020877585
01-09-1877,0.022111454,NaN,0.006920443,NaN,0.008230499,NaN
03-09-1877,0.013685453,NaN,0.013667639,NaN,0.016326893,NaN
04-09-1877,0.019920977,NaN,0.016000341,NaN,0.008298803,NaN
05-09-1877,0.019418086,NaN,0.033825096,NaN,0.004140793,NaN
06-09-1877,0.015355388,NaN,0.013245227,NaN,0.012320484,NaN
07-09-1877,0.010705698,NaN,0.015642777,NaN,0.008298803,NaN
08-09-1877,0.010810916,NaN,0.006749182,NaN,0.012578782,NaN
10-09-1877,0.012664563,NaN,0.00224467,NaN,0.012320484,NaN
11-09-1877,0.009901071,NaN,0.015607898,NaN,0.004106782,NaN
12-09-1877,0.012993686,NaN,0.009049836,NaN,0.008230499,NaN
13-09-1877,0.012789156,NaN,0.013667639,NaN,0.008230499,NaN
14-09-1877,0.014800468,NaN,0.018562018,NaN,0.008298803,NaN
15-09-1877,0.010810916,NaN,0.006936444,NaN,0.004140793,NaN
17-09-1877,0.029939465,NaN,0.016036999,NaN,0.012371292,NaN
18-09-1877,0.022063245,NaN,0.025201792,NaN,0.004123717,NaN
19-09-1877,0.026770241,NaN,0.016147986,NaN,NaN,NaN
20-09-1877,0.020696882,NaN,0.006904515,NaN,0.004140793,NaN
21-09-1877,0.013220211,0.014361185,0.009259325,NaN,0.00415801,NaN
22-09-1877,0.00942514,0.005730675,0.013986242,NaN,0.016807118,NaN
24-09-1877,0.016901811,0.015209419,0.016647233,0.002400962,0.008474627,NaN
25-09-1877,0.014981554,0.013346242,0.012062872,0.012092046,0.004264399,0.004228336
26-09-1877,0.012304935,0.005752652,0.023981965,0.024039619,0.00851069,0.004228336
27-09-1877,0.012178136,0.009532961,0.016726794,0.01676686,0.004282662,0.00851069
28-09-1877,0.010304541,0.009606222,0.009456335,0.009456335,0.008547061,0.004228336
29-09-1877,0.013207739,0.015504187,0.009478744,0.014320054,0.008547061,0.008474627
01-10-1877,0.009756175,NaN,0.009569451,NaN,0.004228336,NaN
02-10-1877,0.01169604,NaN,0.009434032,NaN,0.004228336,NaN
03-10-1877,0.009737175,NaN,0.009546612,NaN,0.008474627,NaN
04-10-1877,0.011560822,NaN,0.011919092,NaN,0.004246291,NaN
05-10-1877,0.008583744,NaN,0.014354313,NaN,0.008547061,NaN
06-10-1877,0.012166739,NaN,0.004739345,NaN,0.012848142,NaN
